tier,file,upstream,new_upstream,upstream_action,our_lines,line_overlap,id_overlap
DERIVED-HIGH,src/renderer/components/layout/WindowControls.tsx,src/renderer/components/layout/WindowControls.tsx,packages/desktop/src/renderer/components/layout/WindowControls.tsx,MOVED+EDITED,33,87.9,97.0
DERIVED-HIGH,tests/unit/databaseBridge.test.ts,tests/unit/databaseBridge.test.ts,tests/unit/databaseBridge.test.ts,DELETED-OR-UNTRACKED-MOVE,98,87.8,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewConfirmModals.tsx,src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewConfirmModals.tsx,packages/desktop/src/renderer/pages/conversation/Preview/components/PreviewPanel/PreviewConfirmModals.tsx,MOVED+EDITED,41,87.8,100.0
DERIVED-HIGH,src/process/extensions/sandbox/permissions.ts,src/process/extensions/sandbox/permissions.ts,tests/e2e/helpers/permissions.ts,MOVED+REWRITTEN,49,87.8,84.3
DERIVED-HIGH,src/process/agent/openclaw/deviceAuthStore.ts,src/process/agent/openclaw/deviceAuthStore.ts,src/process/agent/openclaw/deviceAuthStore.ts,DELETED-OR-UNTRACKED-MOVE,57,87.7,100.0
DERIVED-HIGH,tests/e2e/specs/ext-lifecycle.e2e.ts,tests/e2e/specs/ext-lifecycle.e2e.ts,tests/e2e/specs/ext-lifecycle.e2e.ts,EDITED-IN-PLACE,48,87.5,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/usePreviewKeyboardShortcuts.ts,src/renderer/pages/conversation/Preview/hooks/usePreviewKeyboardShortcuts.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/usePreviewKeyboardShortcuts.ts,MOVED-ONLY,8,87.5,100.0
DERIVED-HIGH,src/process/extensions/resolvers/utils/envResolver.ts,src/process/extensions/resolvers/utils/envResolver.ts,src/process/extensions/resolvers/utils/envResolver.ts,DELETED-OR-UNTRACKED-MOVE,32,87.5,93.8
DERIVED-HIGH,src/renderer/components/base/StepsWrapper.tsx,src/renderer/components/base/StepsWrapper.tsx,packages/desktop/src/renderer/components/base/StepsWrapper.tsx,MOVED-ONLY,8,87.5,80.0
DERIVED-HIGH,tests/unit/common/toolsModalContent.dom.test.tsx,tests/unit/common/toolsModalContent.dom.test.tsx,tests/unit/common/toolsModalContent.dom.test.tsx,DELETED-OR-UNTRACKED-MOVE,157,87.3,93.2
DERIVED-HIGH,tests/unit/geminiBootstrapRejection.test.ts,tests/unit/geminiBootstrapRejection.test.ts,tests/unit/geminiBootstrapRejection.test.ts,DELETED-OR-UNTRACKED-MOVE,39,87.2,100.0
DERIVED-HIGH,src/renderer/pages/conversation/Messages/codex/MessageFileChanges.tsx,src/renderer/pages/conversation/Messages/codex/MessageFileChanges.tsx,packages/desktop/src/renderer/pages/conversation/Messages/MessageFileChanges.tsx,MOVED+EDITED,47,87.2,100.0
