tier,band,file,upstream,our_lines,upstream_lines,ferrox_lines,line_overlap,id_overlap
AUTO,identical,src/renderer/pages/conversation/Preview/components/viewers/PptViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/PptViewer.tsx,5,5,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,6,6,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Preview/components/viewers/index.ts,src/renderer/pages/conversation/Preview/components/viewers/index.ts,9,9,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Preview/components/viewers/ExcelViewer.tsx,src/renderer/pages/conversation/Preview/components/viewers/ExcelViewer.tsx,5,5,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,10,10,0,100.0,100.0
AUTO,identical,src/renderer/pages/conversation/Preview/hooks/index.ts,src/renderer/pages/conversation/Preview/hooks/index.ts,6,6,0,100.0,100.0
AUTO,identical,src/renderer/services/registerPwa.ts,src/renderer/services/registerPwa.ts,14,14,0,100.0,100.0
AUTO,identical,src/common/index.ts,src/common/index.ts,2,2,0,100.0,100.0
AUTO,identical,src/common/electronSafe.ts,src/common/electronSafe.ts,28,28,0,100.0,100.0
AUTO,identical,src/common/types/fileSnapshot.ts,src/common/types/fileSnapshot.ts,8,8,0,100.0,100.0
AUTO,identical,src/common/types/turndown-plugin-gfm.d.ts,src/common/types/turndown-plugin-gfm.d.ts,6,6,0,100.0,100.0
AUTO,identical,src/common/types/database.ts,src/common/types/database.ts,8,8,0,100.0,100.0
AUTO,identical,src/common/types/codex/codexModes.ts,src/common/types/codex/codexModes.ts,7,7,0,100.0,100.0
AUTO,identical,src/common/types/codex/types/index.ts,src/common/types/codex/types/index.ts,24,24,0,100.0,100.0
AUTO,identical,src/common/types/codex/types/errorTypes.ts,src/common/types/codex/types/errorTypes.ts,15,15,0,100.0,100.0
AUTO,identical,src/common/types/codex/types/permissionTypes.ts,src/common/types/codex/types/permissionTypes.ts,20,20,0,100.0,100.0
AUTO,identical,src/common/types/codex/utils/index.ts,src/common/types/codex/utils/index.ts,2,2,0,100.0,100.0
AUTO,identical,src/common/chat/sideQuestion.ts,src/common/chat/sideQuestion.ts,7,7,0,100.0,100.0
AUTO,identical,src/common/chat/atCommandParser.ts,src/common/chat/atCommandParser.ts,37,37,0,100.0,100.0
AUTO,identical,src/common/chat/navigation/index.ts,src/common/chat/navigation/index.ts,2,2,0,100.0,100.0
AUTO,identical,src/common/chat/slash/availability.ts,src/common/chat/slash/availability.ts,6,6,0,100.0,100.0
AUTO,identical,src/common/chat/approval/ApprovalStore.ts,src/common/chat/approval/ApprovalStore.ts,14,14,0,100.0,100.0
AUTO,identical,src/common/chat/approval/index.ts,src/common/chat/approval/index.ts,1,1,0,100.0,100.0
AUTO,identical,src/common/platform/register-electron.ts,src/common/platform/register-electron.ts,3,3,0,100.0,100.0
AUTO,identical,src/common/platform/register-node.ts,src/common/platform/register-node.ts,3,3,0,100.0,100.0
AUTO,identical,src/common/utils/utils.ts,src/common/utils/utils.ts,25,25,0,100.0,100.0
AUTO,identical,src/common/utils/platformAuthType.ts,src/common/utils/platformAuthType.ts,22,22,0,100.0,100.0
AUTO,identical,src/common/utils/platformConstants.ts,src/common/utils/platformConstants.ts,3,3,0,100.0,100.0
AUTO,identical,src/common/utils/geminiModes.ts,src/common/utils/geminiModes.ts,32,32,0,100.0,100.0
AUTO,identical,src/common/utils/index.ts,src/common/utils/index.ts,1,1,0,100.0,100.0
AUTO,identical,src/common/utils/shims/xterm-headless.ts,src/common/utils/shims/xterm-headless.ts,3,3,0,100.0,100.0
AUTO,identical,src/common/adapter/constant.ts,src/common/adapter/constant.ts,2,2,0,100.0,100.0
AUTO,identical,src/common/adapter/registry.ts,src/common/adapter/registry.ts,12,12,0,100.0,100.0
AUTO,identical,src/common/api/ProtocolConverter.ts,src/common/api/ProtocolConverter.ts,6,6,0,100.0,100.0
AUTO,identical,src/common/api/index.ts,src/common/api/index.ts,5,5,0,100.0,100.0
AUTO,identical,src/process/bridge/databaseBridge.ts,src/process/bridge/databaseBridge.ts,28,28,0,100.0,100.0
AUTO,identical,src/process/bridge/workspaceSnapshotBridge.ts,src/process/bridge/workspaceSnapshotBridge.ts,31,31,0,100.0,100.0
AUTO,identical,src/process/bridge/migrationUtils.ts,src/process/bridge/migrationUtils.ts,18,18,0,100.0,100.0
AUTO,identical,src/process/bridge/speechToTextBridge.ts,src/process/bridge/speechToTextBridge.ts,5,5,0,100.0,100.0
AUTO,identical,src/process/bridge/geminiBridge.ts,src/process/bridge/geminiBridge.ts,7,7,0,100.0,100.0
AUTO,identical,src/process/bridge/starOfficeBridge.ts,src/process/bridge/starOfficeBridge.ts,75,75,0,100.0,100.0
AUTO,identical,src/process/bridge/testCustomAgentConnection.ts,src/process/bridge/testCustomAgentConnection.ts,24,24,0,100.0,100.0
AUTO,identical,src/process/bridge/previewHistoryBridge.ts,src/process/bridge/previewHistoryBridge.ts,10,10,0,100.0,100.0
