tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/components/workspace/index.ts,packages/desktop/src/renderer/components/workspace/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useIndexedItemRefs.ts,packages/desktop/src/renderer/hooks/ui/useIndexedItemRefs.ts,7,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useDebounce.ts,packages/desktop/src/renderer/hooks/ui/useDebounce.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/chat/useCompositionInput.ts,packages/desktop/src/renderer/hooks/chat/useCompositionInput.ts,16,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/useOpenFileSelector.ts,packages/desktop/src/renderer/hooks/file/useOpenFileSelector.ts,15,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/usePwaMode.ts,packages/desktop/src/renderer/hooks/system/usePwaMode.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/settings/SystemSettings.tsx,packages/desktop/src/renderer/pages/settings/SystemSettings.tsx,11,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/index.tsx,packages/desktop/src/renderer/pages/guid/index.tsx,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/cron/index.ts,packages/desktop/src/renderer/pages/cron/index.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,packages/desktop/src/renderer/pages/conversation/platforms/assertBridgeSuccess.ts,4,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Messages/constants.ts,packages/desktop/src/renderer/pages/conversation/Messages/constants.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,packages/desktop/src/renderer/pages/conversation/GroupedHistory/hooks/useVisibleConversationIds.ts,12,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/utils/newConversationName.ts,packages/desktop/src/renderer/pages/conversation/utils/newConversationName.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/hooks/useContainerWidth.ts,packages/desktop/src/renderer/pages/conversation/hooks/useContainerWidth.ts,15,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/index.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/context/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/context/index.ts,4,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/context/PreviewToolbarExtrasContext.tsx,packages/desktop/src/renderer/pages/conversation/Preview/context/PreviewToolbarExtrasContext.tsx,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/components/index.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/renderers/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/components/renderers/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/PreviewPanel/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/components/PreviewPanel/index.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,packages/desktop/src/renderer/pages/conversation/Preview/components/viewers/URLViewer.tsx,6,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/useThemeDetection.ts,10,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/hooks/index.ts,packages/desktop/src/renderer/pages/conversation/Preview/hooks/index.ts,6,100.0,100.0,False
DERIVED-HIGH,src/common/index.ts,packages/desktop/src/common/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/electronSafe.ts,packages/desktop/src/common/electronSafe.ts,28,100.0,100.0,False
DERIVED-HIGH,src/common/types/turndown-plugin-gfm.d.ts,packages/desktop/src/common/types/turndown-plugin-gfm.d.ts,6,100.0,100.0,False
DERIVED-HIGH,src/common/chat/atCommandParser.ts,packages/desktop/src/common/chat/atCommandParser.ts,37,100.0,100.0,False
DERIVED-HIGH,src/common/chat/navigation/index.ts,packages/desktop/src/common/chat/navigation/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/chat/approval/ApprovalStore.ts,packages/desktop/src/common/chat/approval/ApprovalStore.ts,14,100.0,100.0,False
DERIVED-HIGH,src/common/chat/approval/index.ts,packages/desktop/src/common/chat/approval/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/common/platform/register-electron.ts,packages/desktop/src/common/platform/register-electron.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/utils/platformConstants.ts,packages/desktop/src/common/utils/platformConstants.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/utils/index.ts,packages/desktop/src/common/utils/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/common/utils/shims/xterm-headless.ts,packages/desktop/src/common/utils/shims/xterm-headless.ts,3,100.0,100.0,False
DERIVED-HIGH,src/common/adapter/constant.ts,packages/desktop/src/common/adapter/constant.ts,2,100.0,100.0,False
DERIVED-HIGH,src/common/adapter/registry.ts,packages/desktop/src/common/adapter/registry.ts,12,100.0,100.0,False
DERIVED-HIGH,src/common/api/ProtocolConverter.ts,packages/desktop/src/common/api/ProtocolConverter.ts,6,100.0,100.0,False
DERIVED-HIGH,src/process/utils/mainWindowLifecycle.ts,packages/desktop/src/process/utils/mainWindowLifecycle.ts,15,100.0,100.0,False
DERIVED-HIGH,src/process/utils/index.ts,packages/desktop/src/process/utils/index.ts,2,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,packages/desktop/src/renderer/pages/conversation/components/ConversationTitleMinimap/minimapTypes.ts,19,100.0,96.3,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/types.ts,packages/desktop/src/renderer/components/settings/SettingsModal/contents/channels/types.ts,3,100.0,90.9,False
DERIVED-HIGH,src/renderer/pages/conversation/Preview/components/viewers/OfficeDocViewer.tsx,packages/desktop/src/renderer/pages/conversation/Preview/components/viewers/OfficeDocViewer.tsx,5,100.0,80.0,False
